,anio,suicidios,poblacion,suicidios_100k,idh,pib_anual_usd,pib_per_capita_usd,hdi_for_year_imputed,population,area_sq._mi.,gdp__per_capita,suicidios_wins,poblacion_wins,pib_anual_usd_wins,pib_per_capita_usd_wins,suicidios_100k_wins,suicidios_wins_log,poblacion_wins_log,pib_anual_usd_wins_log,pib_per_capita_usd_wins_log,suicidios_100k_wins_log,sexo_encoded,edad_encoded,pais_encoded
gdp__per_capita,-0.04548610362188233,0.18497503413876945,0.1657021900605573,0.05591237859431742,0.7753992908335792,0.35243776201971616,0.8001345220618525,0.7761418720897852,0.16917451525994862,0.1836089614752429,1.0,0.19214444708708803,0.15561744890714288,0.3977768508752126,0.8052081401016754,0.060362113467258185,0.1305946243537851,0.05279023244722557,0.5255408508078157,0.828131262644004,0.11395927536882867,2.827055175837024e-16,4.508451204567472e-16,0.12877089536799474
suicidios_wins,0.006991856673737882,0.8813977271622638,0.6785960969786936,0.34992843906481835,0.14483690942668367,0.514723542942828,0.09013283172802768,0.16000590355075034,0.5813422250715083,0.31938570071456485,0.19214444708708803,1.0,0.6735734989760013,0.5603961331060837,0.09653387069689232,0.3687415356767481,0.6188837147107847,0.4699825728160948,0.4227262431405268,0.12392300577167727,0.37794011001818134,0.1827876215991062,0.1197406734840819,0.26196024743113555
poblacion_wins,0.0030568535266323957,0.5896607888419251,0.9732249735851161,-0.007885968070907958,0.10314992027513914,0.6660830627009963,0.0701885276279183,0.11333128079833107,0.8836841956992058,0.5486610377075569,0.15561744890714288,0.6735734989760013,1.0,0.7116252474077308,0.07701531914018747,-0.0031062299658030984,0.5609289210979042,0.6806588438675768,0.570029564349395,0.1182674181974052,0.05980664033806786,-0.011876642977885371,-0.08016929106400275,0.06985416840105113
pib_anual_usd_wins,0.10336997724582189,0.44736742359918125,0.7248159517150136,0.03222105557066732,0.37014700965884156,0.9392577956037498,0.3504365618050456,0.3714775786444337,0.8159542432441876,0.4732535511375253,0.3977768508752126,0.5603961331060837,0.7116252474077308,1.0,0.365577521032622,0.03436967265337603,0.43096573303550617,0.48287166436099715,0.6034269525766243,0.37423433291357217,0.08690675551897689,1.4289519946489762e-16,4.224849619840619e-16,0.08311629976111154
pib_per_capita_usd_wins,0.33726025409145,0.06911582139346578,0.0890841418179452,0.0015434876288809595,0.7887556220154136,0.32671497140736466,0.9957379823427113,0.7846476630520008,0.09391422447657909,0.09869182634103571,0.8052081401016754,0.09653387069689232,0.07701531914018747,0.365577521032622,1.0,0.004251941627458235,0.07577767033317385,0.04936425986574646,0.5069038969576402,0.8488881287789348,0.0616851000724508,-9.650823116728489e-17,6.077576257196758e-16,0.05822359271871534
suicidios_100k_wins,-0.021684962946112975,0.33204558153059166,-0.0014944671482334999,0.9854712411979086,0.08219576182730454,0.023967851088420308,0.0030280582091722257,0.08991483308377292,-0.037554096906990235,-0.0265364222548422,0.060362113467258185,0.3687415356767481,-0.0031062299658030984,0.03436967265337603,0.004251941627458235,1.0,0.4939685529737163,0.013071458633807875,0.08027943285546951,0.03000848571824562,0.821936476167579,0.41432842563113287,0.3922564287509185,0.46935142706882677
suicidios_wins_log,-0.00807894271141772,0.48178645530583597,0.533715647438803,0.47183799479405747,0.18863198151051785,0.36607096416762547,0.06710640033463317,0.20160828302513215,0.4747106257622579,0.32002824862174806,0.1305946243537851,0.6188837147107847,0.5609289210979042,0.43096573303550617,0.07577767033317385,0.4939685529737163,1.0,0.7552675157056814,0.6437623647114469,0.12525556111700273,0.7072716584087605,0.22316423754452058,0.22087028843824724,0.3914611855763384
poblacion_wins_log,0.004243621045976025,0.3709978732094314,0.6389121526042021,0.006995679565664288,0.1399854482894125,0.40856890279083935,0.03951138322504185,0.15154222983334228,0.6137018045592202,0.39070670242593447,0.05279023244722557,0.4699825728160948,0.6806588438675768,0.48287166436099715,0.04936425986574646,0.013071458633807875,0.7552675157056814,1.0,0.7823986688486313,0.09190150744716595,0.1577130313614043,-0.021475672301935894,-0.17960899727111812,0.17707725589340126
pib_anual_usd_wins_log,0.1875037862581868,0.3242991333672259,0.5414111667687198,0.07759868141343537,0.5965893915554358,0.5037829043084123,0.49043599300621665,0.6076389249087067,0.5737888417517664,0.39590423481988263,0.5255408508078157,0.4227262431405268,0.570029564349395,0.6034269525766243,0.5069038969576402,0.08027943285546951,0.6437623647114469,0.7823986688486313,1.0,0.6205011788366044,0.191059232689948,-5.018043896253331e-17,2.878022010588614e-16,0.18806971410306278
pib_per_capita_usd_wins_log,0.34212565600616146,0.08414952399911041,0.12314905080754633,0.028228606601346747,0.896853128500362,0.31562383569971214,0.8327980231121311,0.898549626642673,0.1247488981157997,0.1327025330897763,0.828131262644004,0.12392300577167727,0.1182674181974052,0.37423433291357217,0.8488881287789348,0.03000848571824562,0.12525556111700273,0.09190150744716595,0.6205011788366044,1.0,0.07821474814238813,-3.9107991025186475e-17,5.864604724286232e-16,0.09430043241305354
suicidios_100k_wins_log,-0.02042743076003028,0.3044424462815869,0.06124277377192932,0.7897149490938644,0.14423235793952519,0.06942665783563788,0.05967872162494103,0.15111664159500746,0.009627605595317782,0.027849140893265317,0.11395927536882867,0.37794011001818134,0.05980664033806786,0.08690675551897689,0.0616851000724508,0.821936476167579,0.7072716584087605,0.1577130313614043,0.191059232689948,0.07821474814238813,1.0,0.39883434237138665,0.4585427785134496,0.46841497935832294
sexo_encoded,3.120082973716553e-17,0.15513305843973332,-0.011651807614131966,0.3975432418134178,-0.005084940506161357,1.149791447088685e-16,-1.1167302819515125e-16,-0.0050742291678574055,-3.5494354661161626e-16,-8.194357357404364e-17,2.827055175837024e-16,0.1827876215991062,-0.011876642977885371,1.4289519946489762e-16,-9.650823116728489e-17,0.41432842563113287,0.22316423754452058,-0.021475672301935894,-5.018043896253331e-17,-3.9107991025186475e-17,0.39883434237138665,1.0,-3.1191465071419513e-18,3.890245167382373e-16
edad_encoded,3.2936960836303305e-16,0.08927253585978835,-0.0668256285555882,0.3814753698195079,-0.00520100631167109,3.864027529541548e-16,6.25888377206017e-16,-0.005190118710640629,1.9555371434367528e-16,4.153456532788681e-16,4.508451204567472e-16,0.1197406734840819,-0.08016929106400275,4.224849619840619e-16,6.077576257196758e-16,0.3922564287509185,0.22087028843824724,-0.17960899727111812,2.878022010588614e-16,5.864604724286232e-16,0.4585427785134496,-3.1191465071419513e-18,1.0,4.1374116530557487e-16
pais_encoded,0.020690190215597842,0.2273388982969246,0.06314495597134342,0.4526911708125974,0.24149323399291636,0.06065725882600553,0.0577897457499617,0.25779445295511083,-0.08011440298677971,-0.05661032487659379,0.12877089536799474,0.26196024743113555,0.06985416840105113,0.08311629976111154,0.05822359271871534,0.46935142706882677,0.3914611855763384,0.17707725589340126,0.18806971410306278,0.09430043241305354,0.46841497935832294,3.890245167382373e-16,4.1374116530557487e-16,1.0
