anio,suicidios,poblacion,suicidios_100k,idh,suicidios_wins,poblacion_wins,suicidios_100k_wins,suicidios_wins_log,poblacion_wins_log,suicidios_100k_wins_log,sexo_encoded,edad_encoded
1.0,0.008276018506268502,0.007396165333372334,-0.012541890785085594,0.34986336644697813,0.013243476737113307,0.002491640756821586,-0.015668293126667874,-0.0074171663804535855,0.0023904327633859114,-0.017877447961190587,1.2975032287162754e-16,4.511575128249522e-16
0.008276018506268502,1.0,0.6134027526770498,0.31898304289912066,0.15667041493736666,0.8811723677654199,0.5907787949964092,0.3371790729724408,0.48466486286684685,0.37001359360902675,0.3094155655447049,0.1550055747281474,0.09063740341160971
0.007396165333372334,0.6134027526770498,1.0,-0.0021609855628156563,0.10869892620638627,0.6759044143839746,0.9730441606476854,0.003116307961855947,0.5358984110547799,0.6333509685762503,0.0689176252024982,-0.011361537801417807,-0.06775215094569799
-0.012541890785085594,0.31898304289912066,-0.0021609855628156563,1.0,0.08144549756711547,0.35642130023845153,-0.0035306463380531156,0.9839389495786828,0.47329468172197126,0.01997650393981315,0.7855975139073408,0.3918196561834559,0.38090840596323416
0.34986336644697813,0.15667041493736666,0.10869892620638627,0.08144549756711547,1.0,0.16927189650106822,0.09983634215591577,0.0877390815048863,0.19400899524910808,0.14566747507457756,0.15310417159117468,-5.748320255742306e-18,-7.223095719206519e-17
0.013243476737113307,0.8811723677654199,0.6759044143839746,0.35642130023845153,0.16927189650106822,1.0,0.6717319375767385,0.3766006324520437,0.6214264167265456,0.4678621442128966,0.38432689446985496,0.18217239142267033,0.12126551852979126
0.002491640756821586,0.5907787949964092,0.9730441606476854,-0.0035306463380531156,0.09983634215591577,0.6717319375767385,1.0,0.002022879758504132,0.5640586035497975,0.6754190606495235,0.06842032846849322,-0.011574699814952117,-0.0811388046441067
-0.015668293126667874,0.3371790729724408,0.003116307961855947,0.9839389495786828,0.0877390815048863,0.3766006324520437,0.002022879758504132,1.0,0.4969873613181788,0.026727373555004527,0.8205876756831751,0.40975504997527845,0.39255544608768106
-0.0074171663804535855,0.48466486286684685,0.5358984110547799,0.47329468172197126,0.19400899524910808,0.6214264167265456,0.5640586035497975,0.4969873613181788,1.0,0.7611624449216501,0.7106744458616893,0.21924168965906932,0.21541763264316016
0.0023904327633859114,0.37001359360902675,0.6333509685762503,0.01997650393981315,0.14566747507457756,0.4678621442128966,0.6754190606495235,0.026727373555004527,0.7611624449216501,1.0,0.17833455311014396,-0.020765672461564168,-0.1809666164680974
-0.017877447961190587,0.3094155655447049,0.0689176252024982,0.7855975139073408,0.15310417159117468,0.38432689446985496,0.06842032846849322,0.8205876756831751,0.7106744458616893,0.17833455311014396,1.0,0.3963940124947503,0.45398682824073755
1.2975032287162754e-16,0.1550055747281474,-0.011361537801417807,0.3918196561834559,-5.748320255742306e-18,0.18217239142267033,-0.011574699814952117,0.40975504997527845,0.21924168965906932,-0.020765672461564168,0.3963940124947503,1.0,-3.63079175186077e-18
4.511575128249522e-16,0.09063740341160971,-0.06775215094569799,0.38090840596323416,-7.223095719206519e-17,0.12126551852979126,-0.0811388046441067,0.39255544608768106,0.21541763264316016,-0.1809666164680974,0.45398682824073755,-3.63079175186077e-18,1.0
